,97IBR,97IBRI,105IBR,105IBRI
Slack_78,0.30000000026792684,0.3000001585032379,0.30000000026792684,0.3000001585032379
PV_21,17.939332199421923,0.05000020229641005,17.939332199421923,0.05000020229641005
PV_22,0.0500000009358754,0.05000029203631626,0.0500000009358754,0.05000029203631626
PV_23,1.8023104595042685,0.05000038807224137,1.8023104595042685,0.05000038807224137
PV_24,0.05000000078171375,0.05000029149761619,0.05000000078171375,0.05000029149761619
PV_25,3.3365970294815384,0.05000029976221754,3.3365970294815384,0.05000029976221754
PV_26,2.810478309516552,0.050000235216112306,2.810478309516552,0.050000235216112306
PV_27,15.358638098888834,15.358637350885278,15.358638098888834,15.358637350885278
PV_36,0.05000000082373823,0.05000021675007105,0.05000000082373823,0.05000021675007105
PV_42,0.05000000090316254,0.05000025625540022,0.05000000090316254,0.05000025625540022
PV_47,9.449206619514772,9.449206293800327,9.449206619514772,9.449206293800327
PV_48,0.40060045671747435,0.4006001269912485,0.40060045671747435,0.4006001269912485
PV_50,17.85457529935136,17.85457487927922,17.85457529935136,17.85457487927922
PV_51,0.05000000115418146,0.050000392625811685,0.05000000115418146,0.050000392625811685
PV_53,12.467538799437637,12.46753842704232,12.467538799437637,12.46753842704232
PV_54,7.9999999994708135,7.999999651716611,7.9999999994708135,7.999999651716611
PV_55,7.9999999995170885,7.99999967184171,7.9999999995170885,7.99999967184171
PV_56,20.085691799419564,20.085691427573266,20.085691799419564,20.085691427573266
PV_57,0.5808207756718851,0.5808204772400032,0.5808207756718851,0.5808204772400032
PV_60,0.05000000090235801,0.05000082451147492,0.05000000090235801,0.05000082451147492
PV_61,0.05000000092087831,0.050000277563530204,0.05000000092087831,0.050000277563530204
PV_65,0.0500000003366452,0.05000007253418204,0.0500000003366452,0.05000007253418204
PV_68,0.050000000983515314,0.050000299549767036,0.050000000983515314,0.050000299549767036
PV_71,10.398197499409747,10.398197103759841,10.398197499409747,10.398197103759841
PV_72,0.0500000010962367,0.0500004751038432,0.0500000010962367,0.0500004751038432
PV_79,0.050000000663220794,0.05000027447432067,0.050000000663220794,0.05000027447432067
PV_80,0.05000000084906354,0.050000265714443014,0.05000000084906354,0.050000265714443014
PV_82,0.050000000480835465,0.05000022252438273,0.050000000480835465,0.05000022252438273
PV_86,0.05000000078833722,0.05000028357986963,0.05000000078833722,0.05000028357986963
PV_91,7.999999999556508,7.999999695796916,7.999999999556508,7.999999695796916
PV_92,7.999999999465551,7.999999640374035,7.999999999465551,7.999999640374035
PV_97,7.999999999514245,7.9999996700056,7.999999999514245,7.9999996700056
PV_98,1.0252990895988603,1.025298747268545,1.0252990895988603,1.025298747268545
PV_101,7.999999999470826,7.999999651701556,7.999999999470826,7.999999651701556
PV_115,8.220023969469938,8.220023621320257,8.220023969469938,8.220023621320257
PV_119,0.05000000087979295,0.05000026317704531,0.05000000087979295,0.05000026317704531
PV_120,0.050000000904404374,0.050000232888066876,0.050000000904404374,0.050000232888066876
PV_121,14.569343599367027,14.569343187288764,14.569343599367027,14.569343187288764
PV_122,11.106204297786862,11.10620283112753,11.106204297786862,11.10620283112753
PV_123,0.05000000034220951,0.050000153118587014,0.05000000034220951,0.050000153118587014
PV_130,13.104033845665228,24.877090313377437,13.104033845665228,24.877090313377437
PV_133,31.8613606992688,31.86136022404264,31.8613606992688,31.86136022404264
PV_134,29.32805019871249,29.328049322092518,29.32805019871249,29.328049322092518
PV_135,15.39438209907099,15.394381474561095,15.39438209907099,15.394381474561095
PV_137,0.05000000171512453,13.96566390092646,0.05000000171512453,13.96566390092646
PV_139,0.05000000100841362,0.05000022814547833,0.05000000100841362,0.05000022814547833
PV_23_2,0.05000000067701715,0.05000070512579718,0.05000000067701715,0.05000070512579718
PV_54_2,7.999999999470815,7.999999651716611,7.999999999470815,7.999999651716611
